ticker,name,relative_strength
014990,인디에프,93
071055,한국금융지주우,93
192820,코스맥스,93
218410,RFHIC,93
200670,휴메딕스,92
163730,핑거,92
075580,세진중공업,92
148780,비큐AI,92
001465,BYC우,92
016610,DB증권,92
010660,화천기계,92
024720,콜마홀딩스,92
001270,부국증권,92
003240,태광산업,92
032190,다우데이타,92
041510,에스엠,92
036220,오상헬스케어,92
079940,가비아,91
042420,네오위즈홀딩스,91
030530,원익홀딩스,91
023590,다우기술,91
035510,신세계 I&C,91
000075,삼양홀딩스우,91
001210,금호전기,91
456010,아이씨티케이,91
069460,대호에이엘,91
071320,지역난방공사,91
443060,HD현대마린솔루션,91
413640,비아이매트릭스,91
310200,애니플러스,91
246690,TS인베스트먼트,91
335870,윙스풋,91
084110,휴온스글로벌,91
004690,삼천리,91
000320,노루홀딩스,91
005690,파미셀,91
092790,넥스틸,90
093520,매커스,90
010140,삼성중공업,90
100220,비상교육,90
108380,대양전기공업,90
047810,한국항공우주,90
005710,대원산업,90
016360,삼성증권,90
005810,풍산홀딩스,90
001720,신영증권,90
017510,세명전기,90
010120,LS ELECTRIC,90
039020,이건홀딩스,90
121440,골프존홀딩스,90
006040,동원산업,89
011230,삼화전자,89
006260,LS,89
003480,한진중공업홀딩스,89
003540,대신증권,89
071200,인피니트헬스케어,89
377480,마음AI,89
267320,나인테크,89
375500,DL이앤씨,89
222040,코스맥스엔비티,89
009970,영원무역홀딩스,89
021820,세원정공,89
030610,교보증권,89
024800,유성티엔에스,89
042670,HD현대인프라코어,89
112290,와이씨켐,89
148250,알엔투테크놀로지,89
181710,NHN,89
290650,엘앤씨바이오,89
069510,에스텍,89
460930,현대힘스,88
352820,하이브,88
437730,삼현,88
111770,영원무역,88
009270,신원,88
035810,이지홀딩스,88
37550L,DL이앤씨2우(전환),88
251970,펌텍코리아,88
241770,메카로,88
309930,오하임앤컴퍼니,88
244920,에이플러스에셋,88
034120,SBS,88
030520,한글과컴퓨터,88
000725,현대건설우,88
051500,CJ프레시웨이,88
041520,이엘씨,88
001800,오리온홀딩스,87
004800,효성,87
001260,남광토건,87
002960,한국쉘석유,87
388050,지투파워,87
073540,에프알텍,87
063170,서울옥션,87
300080,플리토,87
194370,제이에스코퍼레이션,87
007860,서연,87
003200,일신방직,87
204610,티쓰리,87
37550K,DL이앤씨우,87
083420,그린케미칼,86
453340,현대그린푸드,86
140860,파크시스템스,86
175330,JB금융지주,86
452430,사피엔반도체,86
192400,쿠쿠홀딩스,86
047770,코데즈컴바인,86
050120,ES큐브,86
000500,가온전선,86
005940,NH투자증권,86
102710,이엔에프테크놀로지,86
000590,CS홀딩스,85
00104K,CJ4우(전환),85
005945,NH투자증권우,85
038390,레드캡투어,85
015860,일진홀딩스,85
014940,오리엔탈정공,85
021240,코웨이,85
003300,한일홀딩스,85
005800,신영와코루,85
006120,SK디스커버리,85
059210,메타바이오메드,85
139130,iM금융지주,85
145020,휴젤,85
100090,SK오션플랜트,85
236200,슈프리마,85
214370,케어젠,85
196170,알테오젠,85
217270,넵튠,85
319400,현대무벡스,85
